Additional Features.Backlit Keyboard,Additional Features.Disk Drive,Additional Features.Finger Print Sensor,Battery Information.Battery Backup,Battery.Adapter Type,Battery.Battery,Battery.Battery Backup,Battery.Battery Details,Brand,Connectivity Feature.Bluetooth,Connectivity Feature.Network RJ 45 LAN,Connectivity Feature.Wired LAN,Connectivity Feature.Wireless LAN,Connectivity Features.Bluetooth,Connectivity.Bluetooth,Connectivity.Card Reader,Connectivity.Display Port,Connectivity.Ethernet,Connectivity.Fingerprint Sensor,Connectivity.HDMI,Connectivity.Headphone Jack,Connectivity.Micro SD Card Reader,Connectivity.Microphone In,Connectivity.Other Ports,Connectivity.Security Lock Port,Connectivity.Thunderbolt,Connectivity.USB Port Details,Connectivity.USB Ports,Connectivity.VGA,Connectivity.WiFi,Display And Audio Features.Refresh Rate,Display And Audio Features.Screen Resolution,Display And Audio Features.Screen Size,Display And Audio Features.Touchscreen,Display.Anti Glare Screen,Display.Aspect Ratio,Display.Dual Display,Display.Features,Display.PPI,Display.Refresh Rate,Display.Resolution,Display.Size,Display.Touch,Display.Type,Extra.Included Software,Extra.Other Features,Extra.Sales Package,General.Battery Back Up,General.Battery Backup,General.Brand,General.Country of Origin,General.Device Type,General.Dimensions,General.Display Resolution,General.Gaming Laptops,General.Graphics Memory,General.Graphics Processor Name,General.Laptop Dead Weight,General.MS Office Provided,General.Model,General.Model ID,General.Model Name,General.Model Number,General.Notebook Type,General.OS,General.OS Architecture,General.Operating System,General.Part Number,General.Processor,General.Processor Generation,General.Product Code,General.Purpose,General.RAM,General.Sales Package,General.Screen Size,General.Screen Type,General.Series,General.Storage Capacity,General.Suitable For,General.Type,General.Usage,General.Utility,General.Warranty,General.Weight,Graphics.Brand,Graphics.Dedicated Memory,Graphics.GPU,Graphics.GPU Clock Speed,In The Box.In Sales Package Accessories,Input.Camera,Input.Inbuilt Microphone,Input.Keyboard,Input.Keyboard Backlit,Input.Optical Drive,Input.Optical Drive Speed,Input.Rear Camera,Input.Sound,Input.Speakers,Input.Touchpad,Last modified,Memory.Hard Disk Capacity,Memory.Hard Disk Interface,Memory.Hard Disk Speed,Memory.Max SSD Supported,Memory.Maximum RAM Supported,Memory.Optane Memory,Memory.RAM,Memory.RAM Bus Speed,Memory.RAM Slots,Memory.SSD Interface,Memory.Solid State Drive,Memory.eMMC Storage,Name,Operating System.OS Architecture,Operating System.Operating System,Port And Slot Features.HDMI Port,Port And Slot Features.Mic In,Port And Slot Features.Speakers,Port And Slot Features.USB Port Type,Port And Slot Features.VGA Port,Price,Price Drop,Price Drop Amount,Processor And Memory Features.Chipset,Processor And Memory Features.Clock Speed,Processor And Memory Features.Dedicated Graphic Memory Type,Processor And Memory Features.Graphic Processor,Processor And Memory Features.Processor Brand,Processor And Memory Features.Processor Generation,Processor And Memory Features.Processor Name,Processor And Memory Features.Processor Variant,Processor And Memory Features.RAM,Processor And Memory Features.RAM Type,Processor And Memory Features.SSD,Processor And Memory Features.SSD Capacity,Processor.Brand,Processor.CPU Score,Processor.Cache,Processor.Chipset,Processor.Cores,Processor.Generation,Processor.Model,Processor.Process Node,Processor.Processor,Processor.Series,Processor.Speed,Related Items,Return Policy.Return Policy,Technical Details.Average Battery Life In Hours,Technical Details.Batteries,Technical Details.Battery Description,Technical Details.Brand,Technical Details.Colour,Technical Details.Connectivity Type,Technical Details.Graphics Card Description,Technical Details.Graphics Coprocessor,Technical Details.Hard Disk Technology,Technical Details.Hard Drive Size,Technical Details.Hardware Platform,Technical Details.Included Components,Technical Details.Item Height,Technical Details.Item Model Number,Technical Details.Item Weight,Technical Details.Item Width,Technical Details.Lithium Battery Energy Content,Technical Details.Maximum Display Resolution,Technical Details.Memory Technology,Technical Details.Number Of USB 2 0 Ports,Technical Details.Number Of USB 3 0 Ports,Technical Details.Operating System,Technical Details.Processor Brand,Technical Details.Processor Speed,Technical Details.Processor Type,Technical Details.Product Dimensions,Technical Details.RAM Size,Technical Details.Screen Size,Technical Details.Series,Warranty Details.Covered In Warranty,Warranty Details.Not Covered In Warranty,Warranty Details.Service Type,Warranty Details.Warranty Summary,Warranty Details.Warranty Type,Warranty.Covered In Warranty,Warranty.Not Covered In Warranty,Warranty.Warranty Service Type,Warranty.Warranty Summary
,,,,65W Adapter,45 Wh Battery,Upto 4 hours,,Lenovo,,,,,,v5.1,Yes,,No,,1 x HDMI 1.4b Port,Yes,,Yes,,,Yes,,"1 x USB Type-C, 1 x USB 3.0, 1 x USB 2.0",,IEEE 802.11a/b/g/n/ac/ax,,,,,Yes,16:9,,"250nits Anti-Glare, FHD Display",~ 141 PPI,60 Hz,1920 x 1080 pixels,15.6 inches,No,IPS,,,,,,,,Hybrid,359.2 x 236.5 x 19.9 mm,,,,,,,82RK018RIN,,,,,Windows 11 Home (64-bit),,,,,,,,,,,,IdeaPad 3,,,,,"Everyday Use, Performance",1 year Warranty,1.7 kg,Intel,,Intel UHD Graphics,,,Yes,Yes,,,No,,,,,Yes,2025-09-16,,,,,,,8 GB DDR4,,,NVMe,512 GB SSD,,Lenovo IdeaPad 3 15IAU7 82RK018RIN Laptop (12th Gen Core i3/ 8GB/ 512GB SSD/ Win11 Home),,,,,,,,33659.0,1.0955827,369,,,,,,,,,,,,,Intel,,10 MB,,"Hexa Core (2P + 4E), 8 Threads",12th Gen,1215U,10 nm,12th Gen Intel Core i3 1215U,Core i3,2 x 1.2 GHz (Turbo Speed upto 4.4 GHz) Performance Cores<br>4 x 900 MHz (Turbo Speed upto 3.3 GHz) Efficient Cores,"[{""Name"": ""Huawei MateBook Fold Laptop (32GB/ 2TB SSD/ HarmonyOS 5)"", ""Price"": 319930}, {""Name"": ""Acer Nitro V ANV15-41 UN.QPFSI.002 Gaming Laptop (AMD Ryzen 5 7535HS/ 16GB/ 512GB SSD/ Win11/ 6GB RTX3050 Graph)"", ""Price"": 49990}, {""Name"": ""Apple MacBook Air 2025 Laptop (Apple M4/ 16GB/ 256GB SSD/ MacOS)"", ""Price"": 83990}, {""Name"": ""HP Victus 15-fb3012AX Gaming Laptop (AMD Ryzen 5 8645HS/ 16GB/ 512GB SSD/ Win11/ 6GB Graph)"", ""Price"": 66990}, {""Name"": ""Lenovo LOQ 2024 83GS003VIN Gaming Laptop (Intel Core i5/ 16GB/ 512GB SSD/ Win11/ 6GB RTX 4050 Graph)"", ""Price"": 72990}, {""Name"": ""Lenovo ThinkBook 16 21MWA0BSIN Laptop (AMD Ryzen 5 7535HS/ 16GB/ 512GB SSD/ Win 11)"", ""Price"": 46450}, {""Name"": ""Acer Nitro V ANV15-52 NH.QUASI.002 Gaming Laptop (Intel Core 5 210H/ 16GB/ 512GB SSD/ Win11/ 8GB RTX4050)"", ""Price"": 69990}, {""Name"": ""Asus TUF Gaming A15 FA566NCR-HN117W Laptop (AMD Ryzen 7 7435HS/ 16GB / 1TB SSD/ Win11 Home / 4GB Graph)"", ""Price"": 66990}, {""Name"": ""Asus Expertbook P1 P1503CVA-S71075WS Laptop (13th Gen Core i5/ 32GB/ 512GB/ Win11)"", ""Price"": 55990}]",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,3 Cell Battery,,,HP,,,,,,v5,"3-in-1 Card Reader (SD, SDHC, SDXC)",,No,Yes,1 x HDMI v1.4 Port,,,Yes,,Kensington Nano Security Slot,,,"1 x USB Type-C, 2 x USB 3.0",,2x2 AC,,,,,Yes,,,,~ 157 PPI,,1920 x 1080 pixels,14 inches,Yes,Full HD LED Backlit IPS Multi Touch Display,"HP JumpStart, HP Support Assistant, HP Connection Optimizer, HP Command Center, Microsoft Office Home and Student 2019","Li-ion Battery, Miracast Compatible, Built-in Alexa Support","2 in 1 Laptop, Power Adaptor, User Guide, Warranty Documents",,,,,Hybrid,322 x 222 x 19.7 mm,,,,,,,14-dh1025TX,,,,,Windows 10 Home (64-bit),,,,,,,,,,,,Pavilion x360,,,,,Performance,1 year Warranty,1.59 kg,NVIDIA,GDDR5 2 GB,Geforce MX130,,,Yes,Built-in Dual Array Microphones,"Full Size Island-style Ash Silver , Yes",Yes,No,,,"Bang and Olufsen Play, HP Audio Boost 1.0",Built-in Dual Speakers,Multi Gesture Touchpad,2025-09-16,1 TB,,5400 RPM,,,,8 GB DDR4,2666 MHz,1.0,,256 GB SSD,,HP Pavilion x360 14-dh1025TX Laptop (10th Gen Core i5/ 8GB/ 1TB HDD 256GB SSD/ Win10/ 2GB Graph),,,,,,,,81794.0,0.0,0,,,,,,,,,,,,,Intel,,6 MB,,"Quad Core, 8 Threads",10th Gen,10210U,14 nm,10th Gen Intel Core i5 10210U,Core i5,4 x 1.6 GHz (Turbo Speed upto 4.2 GHz) Cores,"[{""Name"": ""Huawei MateBook Fold Laptop (32GB/ 2TB SSD/ HarmonyOS 5)"", ""Price"": 319930}, {""Name"": ""Acer Nitro V ANV15-41 UN.QPFSI.002 Gaming Laptop (AMD Ryzen 5 7535HS/ 16GB/ 512GB SSD/ Win11/ 6GB RTX3050 Graph)"", ""Price"": 49990}, {""Name"": ""Lenovo V15 G4 ‎82C70081GE Laptop (AMD Ryzen 5 7520U/ 16GB/ 512GB SSD/ Win11 Home)"", ""Price"": 33490}, {""Name"": ""Samsung Galaxy Book 4 NP750XGJ-LG4IN Laptop (13th Gen Intel Core i3-1315U/ 8GB/ 512GB SSD/ Win11)"", ""Price"": 35990}, {""Name"": ""Infinix XBOOK B15 Series BL51A5 Laptop (AMD Ryzen 7 5825U/ 16GB/ 512GB SSD/ Win 11 Home)"", ""Price"": 34990}, {""Name"": ""HP 245 G10 Laptop (AMD Ryzen 5 7520U/ 8GB RAM/ 512GB SSD/ Win11)"", ""Price"": 29290}, {""Name"": ""Lenovo ThinkBook 16 21MWA0BSIN Laptop (AMD Ryzen 5 7535HS/ 16GB/ 512GB SSD/ Win 11)"", ""Price"": 46450}, {""Name"": ""Asus Expertbook P1 P1503CVA-S71075WS Laptop (13th Gen Core i5/ 32GB/ 512GB/ Win11)"", ""Price"": 55990}, {""Name"": ""HP Victus 15-fb3004AX Gaming Laptop (AMD Ryzen 5 8645HS/ 16GB/ 512GB SSD/ Win11/ 4GB Graph)"", ""Price"": 58490}]",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,42 Wh Battery,Upto 9 hours,Li-ion,Lenovo,,,,,,Yes,Yes,,No,,1 x HDMI Port,Yes,,Yes,,,,,"1 x USB Type-C, 2 x USB 3.0",,Yes,,,,,Yes,,,Brightness : 250nits,~ 141 PPI,,1920 x 1080 pixels,15.6 inches,No,,MS Office 2021,,"Laptop, Power Adaptor, User Guide",,,,,Netbook,359 x 237 x 17 mm,,,,,,,82R400ERIN,,,,,Windows 11 Home (64-bit),,,,,,,,,,,,IdeaPad 1 15ALC7,,,,,Everyday Use,1 year Warranty,1.65 kg,AMD,,AMD Radeon,,,720p HD Camera,Dual Array Digital Microphone,Yes,,No,,,,Yes,Yes,2025-09-16,,,,,,,16 GB DDR4,,,NVMe,512 GB SSD,,Lenovo IdeaPad 1 15ALC7 82R400ERIN Laptop (AMD Ryzen 5 5500U / 16GB/ 512GB SSD/ Win11 Home),,,,,,,,36200.0,6.471217,2343,,,,,,,,,,,,,AMD,,8 MB,AMD,"Hexa Core, 12 Threads",5th Gen,5500U,,5th Gen AMD Ryzen 5 5500U,Ryzen 5,6 x 2.1 GHz (Turbo Speed upto 4 GHz) Cores,"[{""Name"": ""Lenovo IdeaPad 1 15ALC7 82R4010DIN Laptop (AMD Ryzen 5 5625U /16GB/ 512GB SSD/ Win11 Home)"", ""Price"": 38200}, {""Name"": ""Asus Expertbook P1 14 P1403CVA-S60343WS Laptop (13th Gen Core i3/ 8GB/ 512GB/ Win11)"", ""Price"": 34990}, {""Name"": ""Huawei MateBook Fold Laptop (32GB/ 2TB SSD/ HarmonyOS 5)"", ""Price"": 319930}, {""Name"": ""Acer Nitro V ANV15-41 UN.QPFSI.002 Gaming Laptop (AMD Ryzen 5 7535HS/ 16GB/ 512GB SSD/ Win11/ 6GB RTX3050 Graph)"", ""Price"": 49990}, {""Name"": ""Apple MacBook Air 2025 Laptop (Apple M4/ 16GB/ 256GB SSD/ MacOS)"", ""Price"": 83990}, {""Name"": ""HP Victus 15-fb3012AX Gaming Laptop (AMD Ryzen 5 8645HS/ 16GB/ 512GB SSD/ Win11/ 6GB Graph)"", ""Price"": 66990}, {""Name"": ""Acer Nitro V ANV15-52 NH.QUASI.002 Gaming Laptop (Intel Core 5 210H/ 16GB/ 512GB SSD/ Win11/ 8GB RTX4050)"", ""Price"": 69990}, {""Name"": ""Lenovo LOQ 2024 83GS003VIN Gaming Laptop (Intel Core i5/ 16GB/ 512GB SSD/ Win11/ 6GB RTX 4050 Graph)"", ""Price"": 72990}, {""Name"": ""Lenovo ThinkBook 16 21MWA0BSIN Laptop (AMD Ryzen 5 7535HS/ 16GB/ 512GB SSD/ Win 11)"", ""Price"": 46450}]",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,Asus,,,,,,v5.4,,,No,,1 x HDMI 1.4 Port,,,Yes,,Yes,,,"2 x USB Type-C, 1 x USB 3.0",,6(802.11ax) Dual band) 2*2,,,,,Yes,16:9,,NTSC: 45%,~ 141 PPI,60 Hz,1920 x 1080 pixels,15.6 inches,No,,,,"Laptop, Power Adaptor, User Guide, Warranty Documents",,,,,Netbook,3595 x 2322 x 201 mm,,,,,,,CX1505CKA-S70179,,,,,ChromeOS,,,,,,,,,,,,Chromebook CX15,,,,,Performance,1 year Warranty,1.59 kg,Intel,,Intel Integrated UHD,,,Yes,Built-in microphone,Chiclet Keyboard,,No,,,,Built-in speaker,Yes,2025-09-16,,,,,,,4 GB LPDDR4X,,,,,64 GB,Asus Chromebook CX1505CKA-S70179 Laptop (Intel Celeron N4500/ 4GB/ 64GB EMMC/ Chrome OS),,,,,,,,19990.0,0.0,0,,,,,,,,,,,,,Intel,,4 MB,,"Dual Core, 2 Threads",,N4500,10 nm,Intel Celeron N4500,Celeron,2 x 1.1 GHz (Turbo Speed upto 2.8 GHz) Cores,"[{""Name"": ""Lenovo Ideapad Slim 3 Chromebook 14IAN8 83BN001PHA Laptop (Intel Pentium N100/ 4GB/ 128GB eMMC/ Chrome OS)"", ""Price"": 18990}, {""Name"": ""Acer Aspire 3 A311-45 UN.354SI.006 Laptop (Intel Celeron N4500/ 8GB/ 128GB SSD/ Win11)"", ""Price"": 14934}, {""Name"": ""Asus Chromebook CX1400CKA-EK0257 Laptop (Celeron N4500/ 4GB/ 64GB eMMC/ Chrome OS)"", ""Price"": 19276}, {""Name"": ""Huawei MateBook Fold Laptop (32GB/ 2TB SSD/ HarmonyOS 5)"", ""Price"": 319930}, {""Name"": ""Acer Nitro V ANV15-41 UN.QPFSI.002 Gaming Laptop (AMD Ryzen 5 7535HS/ 16GB/ 512GB SSD/ Win11/ 6GB RTX3050 Graph)"", ""Price"": 49990}, {""Name"": ""Lenovo V15 G4 ‎82C70081GE Laptop (AMD Ryzen 5 7520U/ 16GB/ 512GB SSD/ Win11 Home)"", ""Price"": 33490}, {""Name"": ""Apple MacBook Air 2025 Laptop (Apple M4/ 16GB/ 256GB SSD/ MacOS)"", ""Price"": 83990}, {""Name"": ""HP Victus 15-fb3012AX Gaming Laptop (AMD Ryzen 5 8645HS/ 16GB/ 512GB SSD/ Win11/ 6GB Graph)"", ""Price"": 66990}, {""Name"": ""Samsung Galaxy Book 4 NP750XGJ-LG4IN Laptop (13th Gen Intel Core i3-1315U/ 8GB/ 512GB SSD/ Win11)"", ""Price"": 35990}]",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,65 W USB Type-C Adapter,76 Wh Battery,Upto 11 hours,76 WHrs Li-ion,Samsung,,,,,,Yes,,,No,Yes,1 x HDMI 2.0 Port,Yes,MicroSD Multi-media Card Reader,Yes,,,2 x Thunderbolt 4 Port,,"2 x USB Type-C, 1 x USB 3.0",,Wi-Fi 6E AX211 (2x2),,,,,Yes,16:10,,"500nits Brightness, 1000000:1 Contrast Ratio",~ 212 PPI,120 Hz,2880 x 1800 pixels,16 inches,No,Dynamic AMOLED 2X Display,Microsoft Office 2021,,,,,,,Ultrabook,355 x 251 x 12.5 mm,,,,,,,NP960XFG-KC2IN,,,,,Windows 11 (64-bit),,,,,,,,,,,,Galaxy Book 3 Pro,,,,,"Performance, Business, Everyday Use",1 year Warranty,1.56 kg,‎Intel,,‎Intel Iris Xe Graphics,,,1080p FHD camera,Studio Quality Dual Mic,Pro Keyboard,Yes,No,,,Dolby Atmos,Quad Speakers System,Yes,2025-09-16,,,,,,,16 GB LPDDR5,,,NVMe PCIe Gen4,1 TB SSD,,Samsung Galaxy Book 3 Pro NP960XFG-KC2IN Laptop (13th Gen Core i7/ 16GB/ 1TB SSD/ Win11),,,,,,,,94999.0,1.7796502,1691,,,,,,,,,,,,,Intel,,18 MB,,"12 Cores (4P + 8E), 16 Threads",13th Gen,1360P,10 nm SuperFin,13th Gen Intel Core i7 1360P,Core i7,4 x 2.2 GHz (Turbo Speed upto 5 GHz) Performance Cores<br>8 x 1.6 GHz (Turbo Speed upto 3.7 GHz) Efficient Cores,"[{""Name"": ""Huawei MateBook Fold Laptop (32GB/ 2TB SSD/ HarmonyOS 5)"", ""Price"": 319930}, {""Name"": ""Acer Nitro V ANV15-41 UN.QPFSI.002 Gaming Laptop (AMD Ryzen 5 7535HS/ 16GB/ 512GB SSD/ Win11/ 6GB RTX3050 Graph)"", ""Price"": 49990}, {""Name"": ""Lenovo V15 G4 ‎82C70081GE Laptop (AMD Ryzen 5 7520U/ 16GB/ 512GB SSD/ Win11 Home)"", ""Price"": 33490}, {""Name"": ""HP Victus 15-fb3012AX Gaming Laptop (AMD Ryzen 5 8645HS/ 16GB/ 512GB SSD/ Win11/ 6GB Graph)"", ""Price"": 66990}, {""Name"": ""Samsung Galaxy Book 4 NP750XGJ-LG4IN Laptop (13th Gen Intel Core i3-1315U/ 8GB/ 512GB SSD/ Win11)"", ""Price"": 35990}, {""Name"": ""Infinix XBOOK B15 Series BL51A5 Laptop (AMD Ryzen 7 5825U/ 16GB/ 512GB SSD/ Win 11 Home)"", ""Price"": 34990}, {""Name"": ""Lenovo LOQ 2024 83GS003VIN Gaming Laptop (Intel Core i5/ 16GB/ 512GB SSD/ Win11/ 6GB RTX 4050 Graph)"", ""Price"": 72990}, {""Name"": ""HP 245 G10 Laptop (AMD Ryzen 5 7520U/ 8GB RAM/ 512GB SSD/ Win11)"", ""Price"": 29290}, {""Name"": ""Lenovo ThinkBook 16 21MWA0BSIN Laptop (AMD Ryzen 5 7535HS/ 16GB/ 512GB SSD/ Win 11)"", ""Price"": 46450}]",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,Acer,,,,,,Yes,,,"Gigabit Ethernet, Wake-on-LAN Ready",,1 x HDMI Port,,,Yes,,Kensington Lock Slot,,,No USB Port,,IEEE 802.11a/b/g/n/ac,,,,,No,,,,,,1920 x 1080 pixels,,No,HD LED Backlit TFT Display,"Acer Care Center, Acer Portal, Acer Quick Access",,"Laptop, Battery, Power Adaptor, User Guide, Warranty Documents",,,,,,,,,,,,,A315-41,,,,,Windows,,,,,,,,,,,,Aspire 3,,,,,,"Onsite, Manufacturing Defects, Physical Damage, 1 Year Domestic Warranty, 1 Year International Warranty",2.3 kg,,,,,,Yes,Built-in Digital Microphone,FineTip Keyboard with Independent Standard Numeric Keypad (International Language Support),,No,,,"Stereo Speakers, Acer TrueHarmony Technology",Built-in Dual Speakers,Multi Gesture ,2025-09-16,,,5400,,,,8 GB,,,,,,Acer Aspire 3 A315-41 (UN.GY9SI.002) Laptop (Ryzen 5 Quad Core/ 8GB/ 1TB/ Win10),,,,,,,,34980.0,0.0,0,,,,,,,,,,,,,,,,,,,2500U Processor Variant,,Ryzen 5 Quad Core,,,"[{""Name"": ""Huawei MateBook Fold Laptop (32GB/ 2TB SSD/ HarmonyOS 5)"", ""Price"": 319930}, {""Name"": ""Acer Nitro V ANV15-41 UN.QPFSI.002 Gaming Laptop (AMD Ryzen 5 7535HS/ 16GB/ 512GB SSD/ Win11/ 6GB RTX3050 Graph)"", ""Price"": 49990}, {""Name"": ""Apple MacBook Air 2025 Laptop (Apple M4/ 16GB/ 256GB SSD/ MacOS)"", ""Price"": 83990}, {""Name"": ""HP Victus 15-fb3012AX Gaming Laptop (AMD Ryzen 5 8645HS/ 16GB/ 512GB SSD/ Win11/ 6GB Graph)"", ""Price"": 66990}, {""Name"": ""Acer Nitro V ANV15-52 NH.QUASI.002 Gaming Laptop (Intel Core 5 210H/ 16GB/ 512GB SSD/ Win11/ 8GB RTX4050)"", ""Price"": 69990}, {""Name"": ""Lenovo LOQ 2024 83GS003VIN Gaming Laptop (Intel Core i5/ 16GB/ 512GB SSD/ Win11/ 6GB RTX 4050 Graph)"", ""Price"": 72990}, {""Name"": ""Lenovo ThinkBook 16 21MWA0BSIN Laptop (AMD Ryzen 5 7535HS/ 16GB/ 512GB SSD/ Win 11)"", ""Price"": 46450}, {""Name"": ""Asus TUF Gaming A15 FA566NCR-HN117W Laptop (AMD Ryzen 7 7435HS/ 16GB / 1TB SSD/ Win11 Home / 4GB Graph)"", ""Price"": 66990}, {""Name"": ""HP Victus 15-fb3004AX Gaming Laptop (AMD Ryzen 5 8645HS/ 16GB/ 512GB SSD/ Win11/ 4GB Graph)"", ""Price"": 58490}]",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,400W Adaptor,"99.9 Wh, 4 Cell Battery",,Li-ion,MSI,,,,,,v5.4,1x SD Express,,Intel Killer Ethernet E3100 2.5 Gbps,Yes,1 x HDMI 2.1 Port,Yes,,Yes,,Kensington Lock,2x Thunderbolt 5,"2x Thunderbolt 5 (DisplayPort/ Power Delivery 3.1) ,3x Type-A USB3.2 Gen2","3 x USB Type-C, 2 x USB Type-A, 2 x USB 3.0",,Intel Killer Wi-Fi 7 BE1750,,,,,Yes,,,100% DCI-P3 (Typ.),~ 178 PPI,120 Hz,3840 x 2400 pixels,18 inches,No,"MiniLED, IPS-Level",,"Fingerprint Security, Firmware Trusted Platform Module(fTPM) 2.0, Webcam Shutter, Kensington Lock","Laptop, Power Adapter",,,,,Netbook,404 x 307.5 x 24 mm,,,,,,,A2XWIG-255IN,,,,,Windows 11 Home (64-bit),,,,,,,,,,,,Raider 18 HX,,,,,Performance,2 years Warranty,3.6 kg,NVIDIA,GDDR7 16 GB,NVIDIA GeForce RTX 5080,,,IR FHD type (30fps@1080p) with HDR,Array Microphone,Per-Key RGB Gaming Keyboard by SteelSeries with Copilot Key,Yes,No,,,"4x 2W Audio Speaker,
2x 2W Audio Woofer,
Sound by Dynaudio, Nahimic 3 Audio Enhancer, Hi-Res Audio Ready",Build-in Dual speakers,Yes,2025-09-16,,,,,,,64 GB DDR5,,,2TB NVMe PCIe Gen5 SSD + 2TB NVMe PCIe Gen4 SSD,4 TB SSD,,MSI Raider 18 HX AI A2XWIG-255IN Gaming Laptop (Intel Core Ultra 9 285HX/ 64GB/ 4TB SSD/ Win11/ 16GB Graph),,,,,,,,450990.0,1.7318721,7811,,,,,,,,,,,,,Intel,,36 MB,,"24 Cores (8P + 16E), 32 Threads",14th Gen,14900HX,,14th Gen Intel Core i9 14900HX,Core i9,8 x 2.2 GHz (Turbo Speed upto 5.8 GHz) Performance Cores<br>16 x 1.6 GHz (Turbo Speed upto 4.1 GHz) Efficient Cores,"[{""Name"": ""Huawei MateBook Fold Laptop (32GB/ 2TB SSD/ HarmonyOS 5)"", ""Price"": 319930}, {""Name"": ""Acer Nitro V ANV15-41 UN.QPFSI.002 Gaming Laptop (AMD Ryzen 5 7535HS/ 16GB/ 512GB SSD/ Win11/ 6GB RTX3050 Graph)"", ""Price"": 49990}, {""Name"": ""Lenovo V15 G4 ‎82C70081GE Laptop (AMD Ryzen 5 7520U/ 16GB/ 512GB SSD/ Win11 Home)"", ""Price"": 33490}, {""Name"": ""Apple MacBook Air 2025 Laptop (Apple M4/ 16GB/ 256GB SSD/ MacOS)"", ""Price"": 83990}, {""Name"": ""HP Victus 15-fb3012AX Gaming Laptop (AMD Ryzen 5 8645HS/ 16GB/ 512GB SSD/ Win11/ 6GB Graph)"", ""Price"": 66990}, {""Name"": ""Samsung Galaxy Book 4 NP750XGJ-LG4IN Laptop (13th Gen Intel Core i3-1315U/ 8GB/ 512GB SSD/ Win11)"", ""Price"": 35990}, {""Name"": ""Infinix XBOOK B15 Series BL51A5 Laptop (AMD Ryzen 7 5825U/ 16GB/ 512GB SSD/ Win 11 Home)"", ""Price"": 34990}, {""Name"": ""Lenovo LOQ 2024 83GS003VIN Gaming Laptop (Intel Core i5/ 16GB/ 512GB SSD/ Win11/ 6GB RTX 4050 Graph)"", ""Price"": 72990}, {""Name"": ""HP 245 G10 Laptop (AMD Ryzen 5 7520U/ 8GB RAM/ 512GB SSD/ Win11)"", ""Price"": 29290}]",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
